Natural Gas Feed (kmol/h),Steam Feed (kmol/h),Temperature (°C),Total Annual Cost (TAC) [$/h],Hydrogen Production  Nm^3/h,CO in Tail Gas [frac]
1491.18,4375.72,625.784,7.87E+07,89679.7,0.0717391
1311.8,3391,603.813,6.88E+07,78580.1,0.0513386
2013.21,3834.97,632.274,9.84E+07,117893,0.0751468
1262.22,4060.72,613.859,6.92E+07,76976.7,0.0619273
2303.54,5496.93,621.852,9.41E+07,104213,0.0681241
1637.82,3698.22,631.829,8.81E+07,105203,0.0710885
1345.88,5869.31,639.12,7.54E+07,80447.8,0.0891542
1524.92,4504.76,615.848,7.60E+07,84511.9,0.0639055
1901.04,4660.81,639.905,9.55E+07,111946,0.0834004
2195.55,4081.28,608.243,8.76E+07,99511.3,0.0573947
1509.34,3787.45,604.5,7.30E+07,82460,0.053461
1373.1,4203.76,631.958,7.77E+07,88859.5,0.0765102
2144.07,3338.99,641.048,1.09E+08,132699,0.109068
1975.21,5712.83,617.361,8.52E+07,91531.2,0.0653529
2292.91,5468.42,609.678,8.80E+07,95076.9,0.0577882
1490.05,5788.66,609.329,7.18E+07,73500.2,0.0616465
1943.6,3892.69,611.224,8.50E+07,97738.6,0.0588289
1242.8,4333.26,607.71,6.62E+07,71945.1,0.0592396
2033.6,3463.4,624.27,9.53E+07,114637,0.0709802
1218.59,5890.56,641.877,7.18E+07,75675,0.0922485
2358.17,6063.35,604.128,8.63E+07,90046.6,0.0530826
2004.76,4310.29,612.541,8.59E+07,97336.3,0.0600043
2165.38,5241.61,600.435,8.16E+07,87162.9,0.0510798
1621.85,3451.94,610.67,7.91E+07,91931,0.0564614
1614.29,5765.25,618.968,7.75E+07,82043.5,0.0687598
1755.18,4306.99,604.428,7.72E+07,85949.4,0.0539232
2098.59,4148.6,627.957,9.66E+07,113737,0.0720808
1723.32,4408.56,617.801,8.23E+07,92766.5,0.0645891
1794.97,3408.5,622.406,8.93E+07,106699,0.0660732
2115.57,4038.69,645.027,1.08E+08,130186,0.0866679
1421.9,4676.8,600.459,6.83E+07,72702.8,0.0534126
1503.68,5518.99,633.825,7.93E+07,86227.9,0.0829894
1536.27,3210.45,629.053,8.61E+07,103729,0.0660506
1877.83,6384.65,628.577,8.61E+07,91808.1,0.0758408
1722.66,4262.84,639.044,9.13E+07,107622,0.0806871
1426.33,5979.07,625.62,7.45E+07,77463.9,0.0756844
2162.74,5573.68,611.411,8.65E+07,92903.7,0.0596263
1790.62,5022.64,628.194,8.62E+07,96990,0.0746451
2256.52,5679.38,630.178,9.70E+07,107909,0.0756595
2067.55,5259.32,643.292,9.95E+07,114477,0.0878982
1792.53,3766.68,617.748,8.56E+07,100039,0.0628926
1366.6,4851.85,625.336,7.39E+07,81063.9,0.0745089
1762.98,4601.37,618.14,8.27E+07,92733.1,0.0655327
2022.55,5245.04,619.444,8.78E+07,96908.6,0.0666282
1854.51,5848.3,644.406,9.21E+07,102590,0.0908535
1286.85,3581.15,648.942,8.12E+07,96805.9,0.0804951
1428.22,3883.48,619.972,7.64E+07,87970.3,0.0642825
2047.58,5457.7,612.333,8.48E+07,91620.9,0.0604333
1280.91,4953.84,624.475,7.11E+07,77044.7,0.0748354
1778.35,4086.21,623.358,8.68E+07,100760,0.0675695
1277.33,3794.16,628.144,7.45E+07,86314,0.0701944
1620.67,4157.29,610.169,7.69E+07,86552.4,0.0583522
1482.75,5038.4,602.067,6.98E+07,73718.2,0.054988
1225.96,6066.94,600.286,6.32E+07,61781.6,0.0557757
1325.02,4904.43,635.592,7.52E+07,83374.4,0.0843867
1952.82,4483.9,634.182,9.50E+07,110640,0.0774973
1215.86,5480.89,646.513,7.29E+07,78738.7,0.0967377
2139.23,4575.74,629.232,9.71E+07,112237,0.0737528
2289.34,5807.88,639.068,1.01E+08,114157,0.0838008
2156.49,4650.68,644.64,1.05E+08,124350,0.0876934
1339.95,3955.34,606.612,6.93E+07,77146.6,0.0559656
1267.05,3578.72,620.598,7.24E+07,83863.4,0.0630727
1436.41,3394.44,642.504,8.66E+07,104625,0.0726739
1850.46,5680.22,613.581,8.10E+07,86305.4,0.0627418
2368.95,6222.22,642.095,1.04E+08,116267,0.0866341
1700.59,4236.51,601.802,7.52E+07,82833.3,0.0524095
1447.35,5737.22,642.457,7.99E+07,86487.4,0.091854
1673.65,3205.77,643.022,9.68E+07,119290,0.0802951
2179.16,5231.23,608.013,8.55E+07,92887.6,0.0569363
1360.09,4630.9,621.912,7.30E+07,80612.6,0.0707872
1500.04,6368.47,628.766,7.69E+07,79639.7,0.0782257
1209.94,3225.41,631.343,7.49E+07,88772.7,0.0639006
2331.72,3552.16,626.398,1.02E+08,122843,0.0776793
2111.41,4268.94,623.817,9.44E+07,109570,0.0691761
1574.81,6335.15,638.827,8.18E+07,86593.5,0.0873815
1616.39,4406.01,632.77,8.50E+07,98199,0.0769204
1392.88,6077.76,645.205,7.82E+07,83326.9,0.0947631
2228.85,3383.19,640.685,1.10E+08,134754,0.110002
2216.54,5278.8,624.506,9.40E+07,105522,0.0704986
1309.98,4998.55,605.711,6.71E+07,70240.8,0.0587945
1809.4,4783.03,601.166,7.62E+07,82326.3,0.0520126
1429.57,5790.3,640.91,7.86E+07,84644.6,0.0902258
1302.81,4551.85,617.97,7.07E+07,77441.5,0.0675542
1786.34,5543.31,619.24,8.18E+07,88497,0.0675198
1788.03,3370.7,615.473,8.58E+07,101169,0.061117
2236.45,6049.45,640.404,1.00E+08,111895,0.0856098
1588.26,4668.86,608.071,7.45E+07,81086.1,0.0580252
1911.97,3894.71,647.826,1.04E+08,125803,0.0858758
1672.55,4077.24,629.642,8.67E+07,101088,0.072353
1213.58,3336.91,604.379,6.65E+07,75825.8,0.0514244
2360.93,5877.61,638.493,1.03E+08,115934,0.0831326
1905.09,3277.92,611.71,8.61E+07,101391,0.0604791
2034.8,3217.11,635.75,1.03E+08,125917,0.097696
2037.02,4727.25,615.618,8.71E+07,97944,0.0629491
2264.77,5862.48,631.381,9.70E+07,107866,0.0766674
1693.93,4525.39,606.443,7.65E+07,84049,0.0563355
1980.22,6323.69,642.121,9.39E+07,102770,0.088073
1848.12,3634.25,629.304,9.34E+07,111789,0.0714531
1471.98,5074.24,626.716,7.68E+07,84472.8,0.0756894
1549.5,5104.9,631.266,8.07E+07,89163.1,0.0793061
2364.92,3297.46,607.498,8.97E+07,104224,0.0617224
2072.79,3707.48,621.199,9.37E+07,111127,0.0672863
1378.47,5390.39,610.643,6.98E+07,72550.3,0.0628541
2314.32,4155.93,630.668,1.03E+08,122067,0.0759978
1782.43,6154.54,601.627,7.54E+07,76079,0.0539359
2102.45,5600.01,612.833,8.59E+07,92302.8,0.0609899
1211.21,4330.4,629.45,7.10E+07,79064,0.076936
1384.33,5306.83,629.759,7.50E+07,81419.9,0.0796515
1708.27,5317.38,606.568,7.59E+07,80503.4,0.0572285
1609.3,5493.66,639.331,8.42E+07,92919.6,0.0871815
1822.51,6210.4,635.093,8.74E+07,94010,0.0822519
2223.32,6360.02,607.38,8.51E+07,88279.5,0.056222
1232.54,3424.85,626.181,7.36E+07,86124.2,0.0643125
1391.14,3439.59,633.617,8.14E+07,97426.7,0.0688398
1744.25,5959.43,642.632,8.83E+07,97148.2,0.0901983
1899.58,5895.71,647.908,9.47E+07,106147,0.0943694
1805.98,4370.73,631.491,9.00E+07,104684,0.0750941
1654.44,5448.54,641.399,8.63E+07,96295.5,0.088843
2272.97,5032.72,624.562,9.58E+07,108406,0.0702448
2118.16,5780.88,640.288,9.79E+07,110177,0.0857742
1574.24,3576.35,618.456,8.10E+07,94754.9,0.0616953
